type,count,id,type_key,type_lbl,type_lvl
TR1,1,24886976,TREG1,Type 1 Treg,1.0
TYPE,1,24886976,,,
TREG,1,24884430,TREG,Treg,2.0
T,1,24846312,,,
TREG,1,24841855,TREG,Treg,2.0
TFH,2,24836297,TFH,Tfh,2.0
TFR,1,24836297,TFREG,Follicular Treg,1.0
TH2,1,24813893,TH2,Th2,1.0
T,1,24812352,,,
T,1,24749506,,,
TREG,1,24731809,TREG,Treg,2.0
TREG,3,24712469,TREG,Treg,2.0
T,1,24712469,,,
T,1,24712467,,,
TREG,1,24712465,TREG,Treg,2.0
TREG,1,24712461,TREG,Treg,2.0
T,1,24712459,,,
TREG,1,24712459,TREG,Treg,2.0
TREG,1,24712457,TREG,Treg,2.0
T,1,24644290,,,
TEM,1,24644290,TEM,Effector Memory,2.0
T,1,24629013,,,
T,1,24626937,,,
TREG,1,24626572,TREG,Treg,2.0
T,1,24556277,,,
T,1,24512738,,,
MAIT,5,24450998,MAIT,Mucosal-associated Invariant T,1.0
T,2,24450998,,,
TH17,3,24443787,TH17,Th17,1.0
TREG,1,24443787,TREG,Treg,2.0
TREG,1,24091816,TREG,Treg,2.0
TREG,1,24075450,TREG,Treg,2.0
T,1,24980224,,,
TREG,1,24980224,TREG,Treg,2.0
TREG,1,24886492,TREG,Treg,2.0
TH17,1,24867183,TH17,Th17,1.0
ΓΔT,1,24816404,γδT,γδT,2.0
TREG,1,24809879,TREG,Treg,2.0
TH2,1,24795361,TH2,Th2,1.0
TREG,1,24792912,TREG,Treg,2.0
TBETLO,1,24788814,,,
TREG,1,24781194,TREG,Treg,2.0
TR1,1,24781194,TREG1,Type 1 Treg,1.0
TH2,1,24712468,TH2,Th2,1.0
TREG,1,24712466,TREG,Treg,2.0
T,1,24712464,,,
TREG,1,24712464,TREG,Treg,2.0
TREG,1,24712462,TREG,Treg,2.0
TREG,1,24712458,TREG,Treg,2.0
T,1,24712456,,,
TREG,1,24712456,TREG,Treg,2.0
T,1,24705298,,,
TREG,1,24705298,TREG,Treg,2.0
T,1,24695216,,,
MAIT,1,24695216,MAIT,Mucosal-associated Invariant T,1.0
TH40,6,24690203,,,
T,1,24685711,,,
TREG,1,24681107,TREG,Treg,2.0
TFH,1,24670319,TFH,Tfh,2.0
TH,1,24667640,TH,Th,2.0
TREG,1,24667640,TREG,Treg,2.0
TH17,1,24667640,TH17,Th17,1.0
TH17,2,24645850,TH17,Th17,1.0
TREG,1,24645850,TREG,Treg,2.0
T,1,24645850,,,
T,1,24642476,,,
TREG,1,24642476,TREG,Treg,2.0
T,1,24613899,,,
TH17,1,24568095,TH17,Th17,1.0
TREG,3,24563509,TREG,Treg,2.0
TH1,3,24549702,TH1,Th1,1.0
TH17,1,24529390,TH17,Th17,1.0
T,1,24517146,,,
TREG,1,24460857,TREG,Treg,2.0
TREG,1,24412607,TREG,Treg,2.0
TOLEROGENIC,1,24387596,,,
TREG,1,24366614,TREG,Treg,2.0
T,1,24354800,,,
TREG,1,24354800,TREG,Treg,2.0
TRESP,1,24354800,TRESP,Responsive T Cell,3.0
T,1,24353323,,,
TH17,1,24220296,TH17,Th17,1.0
TREG,1,23865833,TREG,Treg,2.0
T,2,24761979,,,
TREG,1,24761979,TREG,Treg,2.0
TREG,1,24742142,TREG,Treg,2.0
TREG,1,24714093,TREG,Treg,2.0
TREG,1,24597693,TREG,Treg,2.0
TREGULATORY,1,24597693,TREG,Treg,2.0
TH17,1,24591369,TH17,Th17,1.0
TREG,1,24591363,TREG,Treg,2.0
TREG,1,24557710,TREG,Treg,2.0
TREG,2,24510524,TREG,Treg,2.0
TEFF,1,24510524,TEFF,Effector,2.0
TREG,1,24418172,TREG,Treg,2.0
TH17,1,24418172,TH17,Th17,1.0
T,2,24374661,,,
TREG,1,24374661,TREG,Treg,2.0
SRT,5,24368340,,,
T,1,24368340,,,
T,1,24357812,,,
T,1,24287433,,,
CD4CXCR5ICOST,1,24287433,,,
TFH,1,24287433,TFH,Tfh,2.0
TH,1,24138116,TH,Th,2.0
T,1,24133182,,,
TREG,1,24133182,TREG,Treg,2.0
TIL,1,23054412,,,
T,1,24722473,,,
TREG,1,24722473,TREG,Treg,2.0
TFH,2,24695686,TFH,Tfh,2.0
T,1,24652756,,,
TREG,1,24652756,TREG,Treg,2.0
TCONV,1,24652756,TCONV,Non-regulatory T Cell,3.0
TREG,1,24598448,TREG,Treg,2.0
TREG,1,24592900,TREG,Treg,2.0
TREG,1,24582432,TREG,Treg,2.0
TREG,1,24534824,TREG,Treg,2.0
TREG,1,24530751,TREG,Treg,2.0
TIM3,1,24514956,,,
TREG,1,24514954,TREG,Treg,2.0
TH1,1,24469975,TH1,Th1,1.0
TH17,1,24469975,TH17,Th17,1.0
T,1,24469975,,,
T,1,24413387,,,
TREG,1,24413387,TREG,Treg,2.0
CD4T,3,24406505,,,
TREG,1,24406505,TREG,Treg,2.0
TREG,1,24383985,TREG,Treg,2.0
T,1,24374759,,,
TH17,1,24374759,TH17,Th17,1.0
T,1,24343821,,,
TFH,1,24343821,TFH,Tfh,2.0
TH2TYPE,1,24343821,TH2,Th2,1.0
TREG,3,24343819,TREG,Treg,2.0
ΓΔT,1,24343819,γδT,γδT,2.0
TREG,1,24338252,TREG,Treg,2.0
TREG,1,24303990,TREG,Treg,2.0
TREG,2,24266626,TREG,Treg,2.0
TREG,1,24002931,TREG,Treg,2.0
TAASPECIFIC,1,24002931,,,
TREG,1,23999998,TREG,Treg,2.0
TREG,1,24717938,TREG,Treg,2.0
T,5,24630990,,,
TREG,1,24630990,TREG,Treg,2.0
T,1,24626170,,,
T,1,24626168,,,
TREG,1,24626168,TREG,Treg,2.0
T,2,24610777,,,
TREG,2,24610777,TREG,Treg,2.0
TCONV,2,24610777,TCONV,Non-regulatory T Cell,3.0
TREG,1,24561014,TREG,Treg,2.0
TREG,1,24548868,TREG,Treg,2.0
TREG,2,24534340,TREG,Treg,2.0
T,1,24531377,,,
TREG,1,24531377,TREG,Treg,2.0
T,2,24523508,,,
TIL,1,24519996,,,
TH17,1,24516202,TH17,Th17,1.0
T,1,24516200,,,
TREG,1,24516200,TREG,Treg,2.0
TREG,1,24509084,TREG,Treg,2.0
T,1,24488178,,,
TIL,1,24488178,,,
TREG,1,24413089,TREG,Treg,2.0
TREG,1,24401767,TREG,Treg,2.0
TCONV,1,24401767,TCONV,Non-regulatory T Cell,3.0
T,1,24388919,,,
TC17,1,24388919,TC17,Tc17,1.0
TH17/TC17,1,24388919,TH17,Th17,1.0
TREG,1,24388919,TREG,Treg,2.0
TH17,1,24388919,TH17,Th17,1.0
TH1,1,24291746,TH1,Th1,1.0
TH,1,24291746,TH,Th,2.0
TFH,1,24291746,TFH,Tfh,2.0
T,1,24168450,,,
TH17POLARIZED,1,24121402,,,
TREG,1,24097035,TREG,Treg,2.0
T,1,24038106,,,
THMYCNDERIVED,1,24038106,,,
TREG,1,23968190,TREG,Treg,2.0
TREG,1,23922083,TREG,Treg,2.0
TREG,1,24779034,TREG,Treg,2.0
TREG,1,24721436,TREG,Treg,2.0
TH2,1,24721436,TH2,Th2,1.0
T,1,24662791,,,
TREG,1,24662791,TREG,Treg,2.0
TFH,1,24655429,TFH,Tfh,2.0
TREG,1,24638085,TREG,Treg,2.0
TREG,1,24637664,TREG,Treg,2.0
TREG,2,24633065,TREG,Treg,2.0
TH1,1,24593132,TH1,Th1,1.0
T,1,24581429,,,
T,1,24517427,,,
TH17,1,24507619,TH17,Th17,1.0
TREG,1,24501220,TREG,Treg,2.0
TREG,1,24492296,TREG,Treg,2.0
TREG,1,24490882,TREG,Treg,2.0
TREG,1,24481337,TREG,Treg,2.0
TH1,1,24463518,TH1,Th1,1.0
THELPER,1,24463518,TH,Th,2.0
TFH,1,24463518,TFH,Tfh,2.0
TREG,1,24462799,TREG,Treg,2.0
T,1,24410134,,,
TREG,1,24410134,TREG,Treg,2.0
T,1,24406503,,,
TREG,1,24406503,TREG,Treg,2.0
TH1,1,24406503,TH1,Th1,1.0
TFR,2,24326038,TFREG,Follicular Treg,1.0
TH1,1,24275363,TH1,Th1,1.0
TREG,1,24275363,TREG,Treg,2.0
INKT,1,24269692,NKT,Natural Killer T,1.0
TREG,1,24222014,TREG,Treg,2.0
T,1,24152290,,,
TREG,1,24152290,TREG,Treg,2.0
T,1,24139499,,,
TREG,1,24139499,TREG,Treg,2.0
TH17,1,23989888,TH17,Th17,1.0
SERT,1,23989888,,,
TREG,1,23947341,TREG,Treg,2.0
TFH,2,23826746,TFH,Tfh,2.0
TREG,1,23707515,TREG,Treg,2.0
TH17,1,23556506,TH17,Th17,1.0
TH17,1,24626307,TH17,Th17,1.0
TFH,1,24551101,TFH,Tfh,2.0
TREG,3,24487033,TREG,Treg,2.0
TREG,1,24385144,TREG,Treg,2.0
TREG,1,24383927,TREG,Treg,2.0
TEFF,1,24383927,TEFF,Effector,2.0
TREG,1,24369313,TREG,Treg,2.0
TREG,5,24324208,TREG,Treg,2.0
TFREG,1,24324208,TFREG,Follicular Treg,1.0
T,1,24324208,,,
TH,1,24313261,TH,Th,2.0
TH22,1,24313261,TH22,Th22,1.0
TH17,1,24313261,TH17,Th17,1.0
TH,1,24269703,TH,Th,2.0
TREG,1,24189710,TREG,Treg,2.0
TREG,1,24170095,TREG,Treg,2.0
TIL,1,24170095,,,
TREG,3,24155161,TREG,Treg,2.0
T,1,24155161,,,
TREG,1,23997029,TREG,Treg,2.0
T,1,23993223,,,
TREG,1,23993223,TREG,Treg,2.0
TREG,1,23765229,TREG,Treg,2.0
TH17,1,24574339,TH17,Th17,1.0
TREG,1,24574339,TREG,Treg,2.0
T,1,24574339,,,
TREG,1,24505313,TREG,Treg,2.0
TH17,1,24498387,TH17,Th17,1.0
TREG,2,24494969,TREG,Treg,2.0
TH9,1,24468256,TH9,Th9,1.0
T,1,24465014,,,
TREG,1,24465014,TREG,Treg,2.0
T,3,24391212,,,
TH17,1,24383926,TH17,Th17,1.0
TREG/TH17,1,24383926,TREG17,Type 17 Treg,1.0
TREG,1,24379126,TREG,Treg,2.0
TH2,1,24367054,TH2,Th2,1.0
TREG,1,24345703,TREG,Treg,2.0
TH,1,24332592,TH,Th,2.0
TC17,1,24316007,TC17,Tc17,1.0
TREG,1,24297862,TREG,Treg,2.0
TREG,2,24263240,TREG,Treg,2.0
T,1,24263240,,,
TH1,1,24262372,TH1,Th1,1.0
TREG,1,24261990,TREG,Treg,2.0
TREG,1,24224516,TREG,Treg,2.0
T,1,24136450,,,
TREG,1,24136450,TREG,Treg,2.0
TREG,1,24134738,TREG,Treg,2.0
TH17,1,23978911,TH17,Th17,1.0
T,1,23959795,,,
TREG,1,23959795,TREG,Treg,2.0
TREG,1,23772685,TREG,Treg,2.0
T,1,25648031,,,
T,1,25606598,,,
TREG,1,25606598,TREG,Treg,2.0
TFR,1,25606598,TFREG,Follicular Treg,1.0
TREG,1,25597313,TREG,Treg,2.0
TH,1,25496334,TH,Th,2.0
TREG,1,25483677,TREG,Treg,2.0
T,2,25404046,,,
TREG,1,25316229,TREG,Treg,2.0
THELPER,1,25316229,TH,Th,2.0
T,1,25269920,,,
TFH,1,25269920,TFH,Tfh,2.0
T,1,25253518,,,
TH,1,25253518,TH,Th,2.0
T,2,25207366,,,
T,1,25204044,,,
TREG,1,25204044,TREG,Treg,2.0
TFH,2,25177110,TFH,Tfh,2.0
TREG,1,25133199,TREG,Treg,2.0
TEFF,1,25060807,TEFF,Effector,2.0
TH17,1,25033972,TH17,Th17,1.0
TH17DERIVED,1,25033972,,,
T,1,25023170,,,
TREG,1,25023170,TREG,Treg,2.0
TLRINDUCED,1,25015278,,,
TFH,1,25013818,TFH,Tfh,2.0
T,1,24963498,,,
TREG,1,24814327,TREG,Treg,2.0
TREG,1,24741640,TREG,Treg,2.0
TREG,1,24741612,TREG,Treg,2.0
TIL,1,24741604,,,
TREG,1,24717872,TREG,Treg,2.0
T,1,24713604,,,
TIL,1,24619681,,,
TAPC,1,24619679,,,
TREG,1,24553046,TREG,Treg,2.0
T,1,24473784,,,
TOLEROGENIC,1,24465795,,,
TH,1,24465695,TH,Th,2.0
TH22,1,24465695,TH22,Th22,1.0
T,1,24454972,,,
TREGS,1,24452263,TREG,Treg,2.0
TH9,1,24431112,TH9,Th9,1.0
TREG,1,24416401,TREG,Treg,2.0
TH1,1,24402773,TH1,Th1,1.0
NKT,1,24225639,NKT,Natural Killer T,1.0
TFH,1,24217812,TFH,Tfh,2.0
T,1,24198406,,,
TREG,1,24198406,TREG,Treg,2.0
TFH,2,24145858,TFH,Tfh,2.0
T,1,24145854,,,
T,1,24114594,,,
TOLEROGENIC,1,24108704,,,
TREG,1,24092378,TREG,Treg,2.0
TBET,1,24080769,,,
ΓΔT,6,24062140,γδT,γδT,2.0
T,1,24009159,,,
TH17,1,23771123,TH17,Th17,1.0
TREG,1,23529856,TREG,Treg,2.0
TLR2TRIGGERED,1,23529856,,,
T,1,23239102,,,
NKT,1,23239102,NKT,Natural Killer T,1.0
T,2,25651732,,,
TREG,1,25651732,TREG,Treg,2.0
TEFF,1,25651732,TEFF,Effector,2.0
T,1,25597314,,,
TREG,1,25524385,TREG,Treg,2.0
TIL,1,25483644,,,
T,1,25343821,,,
CD4T,1,25327882,,,
CD4T,1,25309905,,,
T,1,25274247,,,
TREG,1,25274247,TREG,Treg,2.0
TREG,1,25198706,TREG,Treg,2.0
T,1,25175778,,,
TREG,1,25175778,TREG,Treg,2.0
TH17,1,25149304,TH17,Th17,1.0
THELPER,1,25149304,TH,Th,2.0
TH2,1,25149304,TH2,Th2,1.0
TH17,2,25056541,TH17,Th17,1.0
TREG,2,25023688,TREG,Treg,2.0
TFH,2,25016701,TFH,Tfh,2.0
T,1,25016701,,,
TCD8,1,25009823,,,
T,1,25004813,,,
TR1,1,25004813,TREG1,Type 1 Treg,1.0
T,1,24925396,,,
TREG,1,24925396,TREG,Treg,2.0
TH17,1,24925396,TH17,Th17,1.0
TH,1,24901011,TH,Th,2.0
TH17,2,24899787,TH17,Th17,1.0
TREG,1,24872958,TREG,Treg,2.0
TREG,1,24868562,TREG,Treg,2.0
TUMORACTIVATED,1,24741609,,,
T,1,24734272,,,
TH,1,24734272,TH,Th,2.0
TREG,1,24619682,TREG,Treg,2.0
TREG,1,24610622,TREG,Treg,2.0
TREG,1,24603196,TREG,Treg,2.0
TREG,1,24575405,TREG,Treg,2.0
TREG,2,24558316,TREG,Treg,2.0
TH17,1,24558316,TH17,Th17,1.0
T,1,24558316,,,
TREG,1,24527450,TREG,Treg,2.0
TFH,1,24497824,TFH,Tfh,2.0
TH22,1,24473142,TH22,Th22,1.0
TREG,1,24466164,TREG,Treg,2.0
T,1,24465710,,,
TREG,1,24465710,TREG,Treg,2.0
TH,1,24415853,TH,Th,2.0
TREG,1,24398084,TREG,Treg,2.0
TH17,1,24398084,TH17,Th17,1.0
TH17,1,24392804,TH17,Th17,1.0
TIL,1,25812353,,,
T,2,24362934,,,
TH17,2,24362934,TH17,Th17,1.0
TREG,1,24362934,TREG,Treg,2.0
T,1,24329799,,,
TRAPA,1,24329799,,,
T,1,24317118,,,
TREG,1,24317118,TREG,Treg,2.0
ΓΔT,3,24275339,γδT,γδT,2.0
MAIT,2,24269212,MAIT,Mucosal-associated Invariant T,1.0
T,1,24269212,,,
TEC,1,24214487,,,
THYMIC,1,24214487,,,
T,1,24189164,,,
TFH,1,24189164,TFH,Tfh,2.0
TFH,1,24189162,TFH,Tfh,2.0
TC1,2,24174302,TC1,Tc1,1.0
THELPER,1,24145857,TH,Th,2.0
TFH,1,24145857,TFH,Tfh,2.0
TH1,1,24114634,TH1,Th1,1.0
TH9,1,24032555,TH9,Th9,1.0
TREG,1,24021585,TREG,Treg,2.0
T,1,24019201,,,
MAIT,1,24019201,MAIT,Mucosal-associated Invariant T,1.0
TREG,1,23927943,TREG,Treg,2.0
T,1,23871608,,,
TH,1,23812300,TH,Th,2.0
T,1,23812300,,,
TH17,1,23774107,TH17,Th17,1.0
TREG,1,23774107,TREG,Treg,2.0
T,1,24622415,,,
TREG/TEFF,1,24622415,TREG,Treg,2.0
T,1,24391773,,,
MAIT,1,24391773,MAIT,Mucosal-associated Invariant T,1.0
T,1,24386437,,,
TH,1,24386437,TH,Th,2.0
TREG,1,24376696,TREG,Treg,2.0
TH,1,24376696,TH,Th,2.0
TREG,1,24359168,TREG,Treg,2.0
TH17,1,24342210,TH17,Th17,1.0
TREG,1,24342210,TREG,Treg,2.0
T,1,24342210,,,
TH22,2,24312440,TH22,Th22,1.0
TH17/TH1,1,24312440,TH17,Th17,1.0
T,1,24294966,,,
TREG,1,24294966,TREG,Treg,2.0
T,2,24280670,,,
TREG,1,24280670,TREG,Treg,2.0
TREG,1,24252080,TREG,Treg,2.0
TREG,1,24242819,TREG,Treg,2.0
T,1,24242760,,,
TFH,1,24242760,TFH,Tfh,2.0
TEFF,1,24211714,TEFF,Effector,2.0
TREG,1,24211714,TREG,Treg,2.0
T,1,24203440,,,
TEM,1,24203440,TEM,Effector Memory,2.0
TFH,1,24187103,TFH,Tfh,2.0
T,1,24103733,,,
TREG,1,24103733,TREG,Treg,2.0
T,1,24071443,,,
TREG,1,24055797,TREG,Treg,2.0
TREG,1,23969200,TREG,Treg,2.0
T,2,23964077,,,
TREG,1,23964077,TREG,Treg,2.0
TCR,1,23963968,,,
TH17,1,23957503,TH17,Th17,1.0
T,1,23852544,,,
TFH,1,23852544,TFH,Tfh,2.0
T,1,23835837,,,
INKT,1,23835837,NKT,Natural Killer T,1.0
T,2,23813436,,,
TREG,1,23813436,TREG,Treg,2.0
TREG,1,23749814,TREG,Treg,2.0
TREG,1,23499139,TREG,Treg,2.0
TH,1,25215394,TH,Th,2.0
THELPER,1,25215394,TH,Th,2.0
TH17,1,24507810,TH17,Th17,1.0
TFH,2,24386482,TFH,Tfh,2.0
TEFF,2,24376655,TEFF,Effector,2.0
TREG,1,24376655,TREG,Treg,2.0
T,1,24312443,,,
INKT,1,24312443,NKT,Natural Killer T,1.0
TH1,1,24312443,TH1,Th1,1.0
T,1,24209595,,,
T,1,24177180,,,
TREG,1,24174617,TREG,Treg,2.0
TH2,1,24140602,TH2,Th2,1.0
TREG,1,24097865,TREG,Treg,2.0
TREG,1,24080284,TREG,Treg,2.0
TREG,1,24049180,TREG,Treg,2.0
TREGULATORY,1,24049180,TREG,Treg,2.0
T,1,24032533,,,
T,1,24012345,,,
TREG,1,24012345,TREG,Treg,2.0
T,2,24005771,,,
DNT,1,23993982,,,
TH22,2,23978338,TH22,Th22,1.0
TH17,1,23978338,TH17,Th17,1.0
TYPE1,1,23974054,,,
T,1,23910692,,,
TREG,1,23910692,TREG,Treg,2.0
TREG,1,23901839,TREG,Treg,2.0
TMEM,1,23901839,,,
TREG,1,25509849,TREG,Treg,2.0
TREG,1,24777968,TREG,Treg,2.0
TREG,1,24434323,TREG,Treg,2.0
TREG,1,24363794,TREG,Treg,2.0
TH17,1,24363794,TH17,Th17,1.0
T,1,24294353,,,
TREG,1,24294353,TREG,Treg,2.0
TREG,2,24276186,TREG,Treg,2.0
TREG,1,24244772,TREG,Treg,2.0
TLRACTIVATED,3,24244265,,,
T,1,24244265,,,
T,1,24218122,,,
TREG,1,24218122,TREG,Treg,2.0
TM,1,24218122,,,
TREG,1,24211039,TREG,Treg,2.0
TREG,3,24194584,TREG,Treg,2.0
T,1,24194584,,,
TH,1,24194584,TH,Th,2.0
TREG,1,24182825,TREG,Treg,2.0
T,1,24145357,,,
TREG,1,24145357,TREG,Treg,2.0
TH2,1,24140571,TH2,Th2,1.0
TREG,1,24100716,TREG,Treg,2.0
TREG,1,24068664,TREG,Treg,2.0
TH22,1,24064425,TH22,Th22,1.0
T,1,23970300,,,
TH2,1,23866009,TH2,Th2,1.0
T,1,23829472,,,
TREG,1,23829472,TREG,Treg,2.0
TFH,1,23786438,TFH,Tfh,2.0
TREG,1,23728719,TREG,Treg,2.0
ΓΔT,1,23728719,γδT,γδT,2.0
TREG,1,23625723,TREG,Treg,2.0
TREG,1,23572151,TREG,Treg,2.0
TH17,1,23515135,TH17,Th17,1.0
T,1,24434322,,,
TREG,2,24280043,TREG,Treg,2.0
T,1,24280043,,,
TH17,1,24267152,TH17,Th17,1.0
TREG,2,24244610,TREG,Treg,2.0
TOTAL,1,24244610,,,
TREG,1,24244424,TREG,Treg,2.0
TH9,1,24216482,TH9,Th9,1.0
TH17,1,24211040,TH17,Th17,1.0
TH17DERIVED,1,24211040,,,
TREG,1,24184013,TREG,Treg,2.0
TREG,1,24169351,TREG,Treg,2.0
TREG,8,24142765,TREG,Treg,2.0
T,1,24142765,,,
MAIT,2,24108697,MAIT,Mucosal-associated Invariant T,1.0
T,1,24108697,,,
TH17,1,24097227,TH17,Th17,1.0
TREG,2,24065069,TREG,Treg,2.0
TREG,1,24016547,TREG,Treg,2.0
T,1,23980793,,,
T,1,23973621,,,
TREG,1,23899545,TREG,Treg,2.0
T,1,23826668,,,
TREG,1,23826668,TREG,Treg,2.0
ΓΔT,5,23385428,γδT,γδT,2.0
TIL,1,23336253,,,
TREG,1,24660585,TREG,Treg,2.0
TH17,1,24177566,TH17,Th17,1.0
INKT,1,24167550,NKT,Natural Killer T,1.0
TREG,1,24155968,TREG,Treg,2.0
TFH,1,24138885,TFH,Tfh,2.0
TREG,1,24103268,TREG,Treg,2.0
TH17,3,24091748,TH17,Th17,1.0
