doc_id,text,sent_char_offset,type,field,split,value,c1_cid,c2_cid,c1_ctxt_id,c1_stable_id,c1_word_start,c1_word_end,c1_char_start,c1_char_end,c1_text,c2_ctxt_id,c2_stable_id,c2_word_start,c2_word_end,c2_char_start,c2_char_end,c2_text
PMC2646571,"Down-regulation of Gfi-1 expression by TGF-β is important for differentiation of Th17 and CD103+ inducible regulatory T cells

Growth factor independent 1 (Gfi-1), a transcriptional repressor, is transiently induced during T cell activation.",0,InducingCytokine,inducing_cytokine,1,1,CKC59F8990F767EBD4:CKFD4CA0B2B4BC3AE4,CTBFBDE5121B6748D1:CTBFBDE5121B6748D1,126965,PMC2646571::span:39:43,7,7,39,43,TGF-β,126966,PMC2646571::span:81:84,13,13,81,84,Th17
PMC2646571,"Down-regulation of Gfi-1 expression by TGF-β is important for differentiation of Th17 and CD103+ inducible regulatory T cells

Growth factor independent 1 (Gfi-1), a transcriptional repressor, is transiently induced during T cell activation.",0,InducingCytokine,inducing_cytokine,1,1,CKC59F8990F767EBD4:CKFD4CA0B2B4BC3AE4,CT561AB33D0CC11964:CT19D812F7CB34BCF6,126965,PMC2646571::span:39:43,7,7,39,43,TGF-β,126967,PMC2646571::span:97:118,17,19,97,118,inducible regulatory T
PMC2646571,"Furthermore, a key inducer of both Th17 and iTreg cell differentiation, transforming growth factor β, repressed Gfi-1 expression, implying a reciprocal negative regulation of CD4 T cell fate determination.",900,InducingCytokine,inducing_cytokine,1,1,CK1B7B0E7A89192169:CKFD4CA0B2B4BC3AE4,CTBFBDE5121B6748D1:CTBFBDE5121B6748D1,126279,PMC2646571::span:972:999,13,16,72,99,transforming growth factor β,126280,PMC2646571::span:935:938,7,7,35,38,Th17
PMC2646571,"Furthermore, a key inducer of both Th17 and iTreg cell differentiation, transforming growth factor β, repressed Gfi-1 expression, implying a reciprocal negative regulation of CD4 T cell fate determination.",900,InducingCytokine,inducing_cytokine,1,1,CK1B7B0E7A89192169:CKFD4CA0B2B4BC3AE4,CT19D812F7CB34BCF6:CT19D812F7CB34BCF6,126279,PMC2646571::span:972:999,13,16,72,99,transforming growth factor β,126281,PMC2646571::span:944:948,9,9,44,48,iTreg
PMC2646571,"Interestingly, a large number of CD4 cells differentiated in the presence of TGF-β in vitro express CD103 (9), and TGF-β has been shown to induce Treg cell differentiation (4).
",2903,InducingCytokine,inducing_cytokine,1,1,CKE6031C0A6D34337D:CKFD4CA0B2B4BC3AE4,CTB574584AD019ABB8:CTB574584AD019ABB8,126735,PMC2646571::span:3018:3022,23,23,115,119,TGF-β,126736,PMC2646571::span:3049:3052,29,29,146,149,Treg
PMC2646571,"The cytokine milieu during CD4 T cell activation is one of the most important factors in determining T cell fate. IL-12 and IFN-γ induce Th1 cell differentiation (10–12); IL-4 and IL-2 induce Th2 cell differentiation (13–16), TGF-β and IL-6/IL-21 induce Th17 cell differentiation (17–19), and TGF-β and IL-2 induce iTreg cell generation (4, 20).",3080,InducingCytokine,inducing_cytokine,1,1,CK128EC732B281BF60:CK128EC732B281BF60,CTC3A8C3CBC245616A:CTC3A8C3CBC245616A,126985,PMC2646571::span:3204:3208,23,23,124,128,IFN-γ,126991,PMC2646571::span:3217:3219,25,25,137,139,Th1
PMC2646571,"The cytokine milieu during CD4 T cell activation is one of the most important factors in determining T cell fate. IL-12 and IFN-γ induce Th1 cell differentiation (10–12); IL-4 and IL-2 induce Th2 cell differentiation (13–16), TGF-β and IL-6/IL-21 induce Th17 cell differentiation (17–19), and TGF-β and IL-2 induce iTreg cell generation (4, 20).",3080,InducingCytokine,inducing_cytokine,1,1,CK04FD0805168B608B:CKB4EB2D2CC8BBB93D,CTC3A8C3CBC245616A:CTC3A8C3CBC245616A,126984,PMC2646571::span:3194:3198,21,21,114,118,IL-12,126991,PMC2646571::span:3217:3219,25,25,137,139,Th1
PMC2646571,"The cytokine milieu during CD4 T cell activation is one of the most important factors in determining T cell fate. IL-12 and IFN-γ induce Th1 cell differentiation (10–12); IL-4 and IL-2 induce Th2 cell differentiation (13–16), TGF-β and IL-6/IL-21 induce Th17 cell differentiation (17–19), and TGF-β and IL-2 induce iTreg cell generation (4, 20).",3080,InducingCytokine,inducing_cytokine,1,1,CKAD8334A7AD4B4D2F:CK6FE135B3F86FB707,CTE7B12DC660323A0E:CTE7B12DC660323A0E,126986,PMC2646571::span:3251:3254,32,32,171,174,IL-4,126992,PMC2646571::span:3272:3274,36,36,192,194,Th2
PMC2646571,"The cytokine milieu during CD4 T cell activation is one of the most important factors in determining T cell fate. IL-12 and IFN-γ induce Th1 cell differentiation (10–12); IL-4 and IL-2 induce Th2 cell differentiation (13–16), TGF-β and IL-6/IL-21 induce Th17 cell differentiation (17–19), and TGF-β and IL-2 induce iTreg cell generation (4, 20).",3080,InducingCytokine,inducing_cytokine,1,1,CK4D687600656CECF1:CKD21834C7D75FD77F,CTE7B12DC660323A0E:CTE7B12DC660323A0E,126987,PMC2646571::span:3260:3263,34,34,180,183,IL-2,126992,PMC2646571::span:3272:3274,36,36,192,194,Th2
PMC2646571,"The cytokine milieu during CD4 T cell activation is one of the most important factors in determining T cell fate. IL-12 and IFN-γ induce Th1 cell differentiation (10–12); IL-4 and IL-2 induce Th2 cell differentiation (13–16), TGF-β and IL-6/IL-21 induce Th17 cell differentiation (17–19), and TGF-β and IL-2 induce iTreg cell generation (4, 20).",3080,InducingCytokine,inducing_cytokine,1,1,CKE6031C0A6D34337D:CKFD4CA0B2B4BC3AE4,CTBFBDE5121B6748D1:CTBFBDE5121B6748D1,126988,PMC2646571::span:3306:3310,43,43,226,230,TGF-β,126993,PMC2646571::span:3334:3337,47,47,254,257,Th17
