id,src,sym,lbl,spid,extid,priority,prefid,enabled
CKC13858A2B1F14B6A,ckr, FGF2,FGF2,1,CID_61,50,CKC4486E15652210FC,True
CKE1C384AC6D4F253C,ckr, G0S19-3,CCL3L2,1,CID_4,50,CKA949C45055283102,True
CK02F6DA228C64A2DE,ckr, IL 27,IL-27α,1,CID_120,50,CKC78D5F9D7031D9FD,True
CKFB6F75446966C774,ckr, LD78gamma,CCL3L2,1,CID_4,50,CKA949C45055283102,True
CK4FE9053AF4462C6F,ckr, SCYA3L2,CCL3L2,1,CID_4,50,CKA949C45055283102,True
CKB7FFD8056A890F1A,ckr, TGFa,TGFα,1,CID_161,50,CK0A6596FE118E4553,True
CK9DF61F681F249053,ckr,(Ala-IL-8)77,CXCL8,1,CID_52,50,CKF5A92B42C98C65D0,True
CK5DE743B066775BEE,transform,(IFN) 1,IFN-1,1,,10,CK3123548B749F2BEC,True
CK83971A4B46E3802C,transform,(IFN) AR1,IFN-AR1,1,,10,CK29DF0EE19A802804,True
CK0DB24A9DAEF3F529,transform,(IFN) AR2,IFN-AR2,1,,10,CK889C78943FC23083,True
CK0DF0CBD175D53A7E,transform,(IFN) CDw119,IFN-CDw119,1,,10,CKA119E7E918C6B76B,True
CKFE20E5D385B0F8C8,transform,(IFN) GR2,IFN-GR2,1,,10,CK29C31FC3C80D010F,True
CKAD14D99671BEF5F6,transform,(IFN) IL-18,IFN-IL-18,1,,10,CK10C9518C520DF4AF,True
CK6DFF3E1252EEB267,transform,(IFN) IL-28A,IFN-IL-28A,1,,10,CKE80F2E68F8741AF2,True
CK032731BBE28F8A6B,transform,(IFN) IL-28B,IFN-IL-28B,1,,10,CK7EDCB9AAA3703FCB,True
CK8A4C95E247D11E92,transform,(IFN) IL-28a,IFN-IL-28a,1,,10,CKE20B497EB588CCF7,True
CKDFF77B6350CFF2F2,transform,(IFN) IL-28b,IFN-IL-28b,1,,10,CK1615AC42B5A6E33B,True
CK1470D7E1B1D20F27,transform,(IFN) IL-29,IFN-IL-29,1,,10,CKFC2B266824DF5A64,True
CK4D2448361C53283E,transform,(IFN) IL-6,IFN-IL-6,1,,10,CKE27427761C7E95C1,True
CKDDA8FAECB1FCF967,transform,(IFN) LR1,IFN-LR1,1,,10,CK5D079EB969813727,True
CK08FE91CF7B55EB14,transform,(IFN) a,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CKF5372C203D839CE6,transform,(IFN) a1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CKC7A00430C0F93EC0,transform,(IFN) a10,IFN-α10,1,,10,CK01195F8C753113B6,True
CK5CF16744FE08F21F,transform,(IFN) a13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK7D08FC8B05A25480,transform,(IFN) a14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK8298D07D46B2916B,transform,(IFN) a16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CK7EBD1613D700A422,transform,(IFN) a17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CKBB89F4FB603648A2,transform,(IFN) a2,IFN-α2,1,,10,CKD07446D184B98C33,True
CKC473B2BA74C1AB1B,transform,(IFN) a21,IFN-α21,1,,10,CK3EB78699770E9792,True
CK248E2375D4279218,transform,(IFN) a4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CKEAE6DE65B4E6017C,transform,(IFN) a5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CK0A050056B26CC4B7,transform,(IFN) a6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CK5D73AE6027283B93,transform,(IFN) a7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CK17F3A730444FF19F,transform,(IFN) a8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CKC181415C50C8C01B,transform,(IFN) alpha,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CK5BD50A84FAD640E2,transform,(IFN) alpha1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CKA2ECB6C879CF5A75,transform,(IFN) alpha10,IFN-α10,1,,10,CK01195F8C753113B6,True
CKA559D04B6122453A,transform,(IFN) alpha13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK83F4C10DA78A2C20,transform,(IFN) alpha14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK5DD3371109EF8238,transform,(IFN) alpha16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CK67500C79046D310D,transform,(IFN) alpha17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CK337B05DA90DA42E5,transform,(IFN) alpha2,IFN-α2,1,,10,CKD07446D184B98C33,True
