id,src,sym,lbl,spid,extid,prefid
CK16DB62C0EE32FCFC,manual,4-1BB,4-1BB,1,,CK16DB62C0EE32FCFC
CKD6A1F8500CF5BB6C,manual,TNFSF9,4-1BB,1,,CK16DB62C0EE32FCFC
CK66480A09B13AD79D,cameron,4-1BBL,4-1BBL,1,,CK66480A09B13AD79D
CK3C8B23133684A426,cameron,APRIL,APRIL,1,,CK3C8B23133684A426
CKA1A67F50E3346A8F,cameron,TALL-2,APRIL,1,,CK3C8B23133684A426
CKA6E60F616C682FA7,manual,APRIL,APRIL,1,,CK3C8B23133684A426
CK7BDD5379E8B3E516,manual,TNFSF13,APRIL,1,,CK3C8B23133684A426
CKDB7489BEE8CE7869,mygene,CCL1,CCL1,1,6346,CKDB7489BEE8CE7869
CK272B9F36913CF411,mygene,C-C motif chemokine ligand 1,CCL1,1,6346,CKDB7489BEE8CE7869
CK188CA02339A25C9C,mygene,I-309,CCL1,1,6346,CKDB7489BEE8CE7869
CK004A3EFE0C8CB696,mygene,P500,CCL1,1,6346,CKDB7489BEE8CE7869
CK80674A4847E7C2B2,mygene,SCYA1,CCL1,1,6346,CKDB7489BEE8CE7869
CKEFC608AD031280C8,mygene,SISe,CCL1,1,6346,CKDB7489BEE8CE7869
CKF9EB8C5382F5DA98,mygene,TCA3,CCL1,1,6346,CKDB7489BEE8CE7869
CKD459A080C88555A9,mygene,CCL11,CCL11,1,6356,CKD459A080C88555A9
CK07412E5785176054,mygene,C-C motif chemokine ligand 11,CCL11,1,6356,CKD459A080C88555A9
CK1D209BE5B158E9E3,mygene,SCYA11,CCL11,1,6356,CKD459A080C88555A9
CK3AA4CB5E15C04151,mygene,CCL13,CCL13,1,6357,CK3AA4CB5E15C04151
CKE5B18527A00E88C2,mygene,C-C motif chemokine ligand 13,CCL13,1,6357,CK3AA4CB5E15C04151
CK8CBA94477B7B1E76,mygene,CKb10,CCL13,1,6357,CK3AA4CB5E15C04151
CK86BE4592802D5B1F,mygene,MCP-4,CCL13,1,6357,CK3AA4CB5E15C04151
CK63E88E616F181F14,mygene,NCC-1,CCL13,1,6357,CK3AA4CB5E15C04151
